,,,,,,
Eff (%),— Pmmp (W),Vmpp (V,Impp (A),Voc (V),Isc (A),FF(%)
22.50-22.60,Sie,0.588,"9,648",0.684,0.143,81.68
22.40-22.50,5.64,0.586,9.628,0.683,0131,81.56
22.30-22.40,5.62,0.585,9.612,0.682,0.110,81.53
22.20-22.30,5.59,0.583,9.600,0.680,0.098,81.44
22710-2220),5.57,0.581,9.586,0.678,0.086,81.39
22.00-22.10,5.54,0.580,9.561,0.676,0.071,81.38
21.90-22.00,5152,0.577,"9,558",0.674,0.070,81.26
21.80-21.90,5.49,0.575,9.548,0.672,0.690,81.18
21.70-21.80,5.47,0.574,9.526,0.670,0.060,81.11
21.60-21.70,5.44,0.572,9.523,0.670,0.059,80.77
21.50-21.60,5.42,0.571,9.495,0.670,0.055,80.38
