17.9,17.8,17.7,17.6,17.5,17.4,fed:,
4.359,4.334,4.308,4.283,4.259,4.234,4.210,
,0.629,0.629,0.628,0.627,0.626,,
,8.747,8.709,8.680,8.656,8.648,,
,0.529,0.527,0.524,0.524,0.524,,
8.233,8.194,8.168,8.173,8.133,8.088,8.053,
,78.785,78.639,78.567,78.441,78.240,,
,= NX,16.9,16.8,16.6,16.4,,
,4.137,4.113,4.088,4.041,3.991,304,
,0.619,0.620,0.618,0.620,0.615,0.614,
,8.571,8.545,8.535,8.419,8.385,8.327,
,0.517,0.515,0.513,0.514,0.508,0.506,
,8.006,7.978,7.970,7.861,7.850,7.795,7.673
,77.928,77.611,77.495,77.419,77.434,77.145,77.469
